book,line,text
1,228,her eyes wet with shiny tears came to him you who rule the lives of gods and men a terror with your thunderbolts what did 
1,459,he stopped in tears achates what place on earth what land isnt steeped in what weve suffered look its priam here too glory has rewards 
1,465,sighing heavily tears streamed down his face he saw the men who fought by pergamum here greeks fled as trojan youths pursued 
1,468,there the phrygians ran and plumed achilles chased them in his chariot he recognized in tears rhesus snowy tents bloody diomedes 
2,144,unsullied among humans pity my ordeal and a soul that suffers so unfairly these tears won him life and even pity 
2,195,and ruin will fall on our children instead through this trap this skillful lying sinons story won us over we were captured by forced tears 
2,270,creeping over us the sweetest gift of gods but in my dreams grieving hector came to me weeping floods of tears looking as he did 
2,363,of that night what tears could match our anguish our ancient city fell so long a seat of power there were bodies everywhere they lay unmoving 
2,480,on the roof in front pyrrhus makes short work of heavy doors he snatches up a double ax and tears the bronze jambs from their hinges hacks 
2,603,its the cruelty of the gods thats overturned our wealth and hurls troy from her heights look ill tear away the swirling mist that dulls 
2,651,so he said unmoved and would not stir all of us broke down in tears my wife our son the slaves we begged him not to drag us down 
2,792,in tears wanting to say so much three times i tried to throw my arms around her neck three times the ghost i tried to hold flowed through 
2,798,of new companions whod poured in women men and soldiers a grieving throng escaping troy they came from all around with what they had 
3,24,there was a mound nearby with cornel shrubs on top and bristly myrtles with sharp spikes i went to tear green branches from the soil 
3,309,a place for tears when she saw me with my trojan troops she panicked at this ghostly sight and froze then warmth fled her body and she fainted 
3,315,has left you where is hector as she wept her laments filled land and sky in this frenzy i could barely get in a few words distressed 
3,351,to his home shedding floods of tears as he spoke i saw a little troy a tower like the great one and a parched stream they called xanthus 
3,492,his eyes his hands and mouth were just the same and now hed be a young man of your age i wept as i spoke my parting words 
4,30,still has my love let him guard it in his grave as she spoke she soaked her chest with tears anna answered sister dearer than life itself 
4,315,is it me you run from by my tears and by your promise nothing else is left me in my grief by our wedding by the marriage weve begun 
4,369,why should i pretend now what could be worse than this did he suffer as i wept or look at me or yield to tears and feel pity for his lover 
4,408,and chastise stragglers the pathway teems with work what did you feel then dido as you watched how did you grieve seeing from your citadel 
4,414,again didos forced to plead with him and weep to submit her pride to love and beg she cant leave any stone unturned her lifes at stake 
4,429,why does he ignore my words whats his rush as a last gift for his grieving lover let him wait for easy sailing and fair winds 
4,438,her unhappy sister takes these words and tears to aeneas many times but no sobs can move him and hes closed to any plea the fates 
4,450,his mind remains unmoved the tears are spilled in vain then unhappy dido prays for death in earnest distraught at her fate it sickens her to see 
4,546,tore from sidon to set sail again no die as you deserve kill grief by the sword sister you did this you yielded to my tears 
4,648,saw the trojan clothes and wellknown bed she lingered for a bit with thoughts and tears then lay down and spoke her final words 
4,675,this was your plan my sister you wanted to trick me the pyre the flames and altar were for this you left me with so much to grieve for did you 
5,174,a fury tears wetting his cheeks forgetting dignity and the safety of his crew he shoved slow menoetes from the stern into the sea 
5,345,popularity and graceful tears protected himand his purity so lovely in a lovely boy diores loudly backed him up 
5,615,wept for lost anchises looking at the ocean through their tears they deplored the many reefs and voyages that faced their weary people still 
5,771,in tears himself good aeneas offered comfort with kind words and left them with acestes he ordered three calves killed for eryx a lamb 
6,147,itll break off easily if not no force no blade will help you tear it off also i have sad news a friends corpse lies along 
6,177,the sibyls orders in tears they heaped logs on the pyre and strove to raise it to the sky they entered ancient woods and wild lairs 
6,219,they washed and anointed the cold corpse and set the man they wept for on a bier groaning giving him the purple robes owed to the dead 
6,438,but divine law forbids it the gloomy waves and hateful swamp confine them and the nine coils of the styx close by he was shown the fields of mourning 
6,453,as when one sees or thinks one sees a new moon climbing through the clouds when the month is young he spoke to her in tears with tender love 
6,468,that looked at him so fiercely his tears fell but dido turned away her eyes fixed on the ground her face just as unaltered by his speech 
6,474,husband shared her pain and matched her love aeneas was shaken by her unjust death his eyes followed her with tears and pity as she left 
6,582,i also saw aloeus twins giant bulks who tried to tear down heaven with their hands and dislodge jupiter from his high realm 
6,684,when he saw aeneas coming to him through the meadow he stretched out both arms eagerly tears ran down his face and he exclaimed 
6,699,tears soaked aeneas face three times he tried to wrap his arms around his fathers neck three times his hands passed through the insubstantial shade as if 
6,732,and theyre blunted by our bodies which must die so men fear and want grieve and feel glad locked in this dark dungeon they cant perceive the sky 
